locationLongitude(WGS84),locationLatitude(WGS84),locationSpeed(m/s),accelerometerAccelerationX(G),accelerometerAccelerationZ(G)
24.7988642,60.1784217,3,0,-1
24.7988642,60.1784217,3,0,-1
24.7988642,60.1784217,3,0,-1
24.7988642,60.1784217,3,0,-1
24.7988642,60.1784217,3,0,-1
24.7988642,60.1784217,3,0,-1
24.7988642,60.1784217,3,0,-1
24.7988642,60.1784217,3,0,-1
24.7988642,60.1784217,3,0,-1
24.7988642,60.1784217,3,0,-1
24.7989,60.1783,3,0,-1
24.7989,60.1783,3,0,-1
24.7989,60.1783,3,0,-1
24.7989,60.1783,3,0,-1
24.7989,60.1783,3,0,-1
24.7989,60.1783,3,0,-1
24.7989,60.1783,3,0,-1
24.7989,60.1783,3,0,-1
24.7989,60.1783,3,0,-1
24.7989,60.1783,3,0,-1
24.7989,60.1783,3,0,-1
24.7989,60.1783,3,0,-1
24.7989,60.1783,3,0,-1
24.7989,60.1783,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79931,60.17768,3,0,-1
24.79938,60.17747,3,0,-1
24.79938,60.17747,3,0,-1
24.79938,60.17747,3,0,-1
24.79938,60.17747,3,0,-1
24.79938,60.17747,3,0,-1
24.79943,60.17736,3,0,-1
24.79943,60.17736,3,0,-1
24.79943,60.17736,3,0,-1
24.79943,60.17736,3,0,-1
24.79943,60.17736,3,0,-1
24.79943,60.17736,3,0,-1
24.79943,60.17736,3,0,-1
24.79943,60.17736,3,0,-1
24.79952,60.17719,3,0,-1
24.79952,60.17719,3,0,-1
24.79952,60.17719,3,0,-1
24.79952,60.17719,3,0,-1
24.79952,60.17719,3,0,-1
24.79952,60.17719,3,0,-1
24.79952,60.17719,3,0,-1
24.79952,60.17719,3,0,-1
24.79952,60.17719,3,0,-1
24.79952,60.17719,3,0,-1
24.79952,60.17719,3,0,-1
24.79952,60.17719,3,0,-1
24.79952,60.17719,3,0,-1
24.79952,60.17719,3,0,-1
24.79952,60.17719,3,0,-1
24.79952,60.17719,3,0,-1
24.79952,60.17719,3,0,-1
24.7998,60.17667,3,0,-1
24.7998,60.17667,3,0,-1
24.7998,60.17667,3,0,-1
24.7998,60.17667,3,0,-1
24.7998,60.17667,3,0,-1
24.7998,60.17667,3,0,-1
24.7998,60.17667,3,0,-1
24.7998,60.17667,3,0,-1
24.7998,60.17667,3,0,-1
24.7998,60.17667,3,0,-1
24.7998,60.17667,3,0,-1
24.79981,60.17666,3,0,-1
24.79981,60.17666,3,0,-1
24.79981,60.17666,3,0,-1
24.79981,60.17666,3,0,-1
24.79981,60.17666,3,0,-1
24.79981,60.17666,3,0,-1
24.79981,60.17666,3,0,-1
24.79981,60.17666,3,0,-1
24.80004,60.17625,3,0,-1
24.80004,60.17625,3,0,-1
24.80004,60.17625,3,0,-1
24.80004,60.17625,3,0,-1
24.80004,60.17625,3,0,-1
24.80004,60.17625,3,0,-1
24.80004,60.17625,3,0,-1
24.80004,60.17625,3,0,-1
24.80004,60.17625,3,0,-1
24.80004,60.17625,3,0,-1
24.80004,60.17625,3,0,-1
24.80004,60.17625,3,0,-1
24.80004,60.17625,3,0,-1
24.80004,60.17625,3,0,-1
24.80004,60.17625,3,0,-1
24.80004,60.17625,3,0,-1
24.80004,60.17625,3,0,-1
24.80006,60.17622,3,0,-1
24.80006,60.17622,3,0,-1
24.80006,60.17622,3,0,-1
24.80006,60.17622,3,0,-1
24.80006,60.17622,3,0,-1
24.80006,60.17622,3,0,-1
24.80006,60.17622,3,0,-1
24.80006,60.17622,3,0,-1
24.80006,60.17622,3,0,-1
24.80006,60.17622,3,0,-1
24.80006,60.17622,3,0,-1
24.80006,60.17622,3,0,-1
24.80006,60.17622,3,0,-1
24.80006,60.17622,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
24.80023,60.17589,3,0,-1
