locationLongitude(WGS84),locationLatitude(WGS84),locationSpeed(m/s),accelerometerAccelerationX(G),accelerometerAccelerationZ(G)
24.8103551,60.1742795,3,0,-1
24.81026,60.17427,3,0,-1
24.80997,60.17425,3,0,-1
24.80966,60.17424,3,0,-1
24.80932,60.17426,3,0,-1
24.8091,60.17433,3,0,-1
24.8089,60.17443,3,0,-1
24.80863,60.17455,3,0,-1
24.8084,60.17461,3,0,-1
24.8083,60.17463,3,0,-1
24.80786,60.17465,3,0,-1
24.80751,60.17462,3,0,-1
24.80669,60.1745,3,0,-1
24.80635,60.17445,3,0,-1
24.80582,60.17437,3,0,-1
24.80464,60.17419,3,0,-1
24.80421,60.17413,3,0,-1
24.80267,60.17392,3,0,-1
24.8026733,60.1739165,3,0,-1
24.80174,60.1738,3,0,-1
24.80159,60.17378,3,0,-1
24.80149,60.17376,3,0,-1
24.8014866,60.1737616,3,0,-1
