loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2018-11-24 13:32:51.423 +0200,1,1543059170.999851,60.18403263302537,24.828989915572876,8.105042,1.91,6,5.0,141861.2844484167,-0.02520751953125,-0.0750579833984375,-0.9729461669921876
2018-11-24 13:32:51.467 +0200,2,1543059170.999851,60.18403263302537,24.828989915572876,8.105042,1.91,6,5.0,141861.3439904167,-0.0249176025390625,-0.07049560546875,-0.9807281494140624
2018-11-24 13:32:51.527 +0200,3,1543059170.999851,60.18403263302537,24.828989915572876,8.105042,1.91,6,5.0,141861.4035334167,-0.0129241943359375,-0.0649261474609375,-0.9620208740234376
2018-11-24 13:32:51.586 +0200,4,1543059170.999851,60.18403263302537,24.828989915572876,8.105042,1.91,6,5.0,141861.4630764167,-0.0070343017578125,-0.06231689453125,-0.959625244140625
2018-11-24 13:32:51.646 +0200,5,1543059170.999851,60.18403263302537,24.828989915572876,8.105042,1.91,6,5.0,141861.5226184167,-0.000213623046875,-0.0675811767578125,-0.9578399658203124
2018-11-24 13:32:51.717 +0200,6,1543059170.999851,60.18403263302537,24.828989915572876,8.105042,1.91,6,5.0,141861.5821614167,-0.0030975341796875,-0.0996551513671875,-0.9754486083984376
2018-11-24 13:32:51.767 +0200,7,1543059170.999851,60.18403263302537,24.828989915572876,8.105042,1.91,6,5.0,141861.6417034167,-0.008514404296875,-0.134063720703125,-1.002029418945312
2018-11-24 13:32:51.824 +0200,8,1543059170.999851,60.18403263302537,24.828989915572876,8.105042,1.91,6,5.0,141861.7012464167,-0.0130157470703125,-0.15032958984375,-1.032501220703125
2018-11-24 13:32:51.884 +0200,9,1543059170.999851,60.18403263302537,24.828989915572876,8.105042,1.91,6,5.0,141861.7607894167,-0.0223846435546875,-0.1288604736328125,-1.004913330078125
2018-11-24 13:32:51.958 +0200,10,1543059170.999851,60.18403263302537,24.828989915572876,8.105042,1.91,6,5.0,141861.8203314167,-0.013214111328125,-0.1114501953125,-0.94720458984375
2018-11-24 13:32:52.003 +0200,11,1543059170.999851,60.18403263302537,24.828989915572876,8.105042,1.91,6,5.0,141861.87987441669,0.00921630859375,-0.1170501708984375,-0.9985198974609376
2018-11-24 13:32:52.063 +0200,12,1543059170.999851,60.18403263302537,24.828989915572876,8.105042,1.91,6,5.0,141861.9394164167,0.0064849853515625,-0.119781494140625,-1.037124633789062
2018-11-24 13:32:52.122 +0200,13,1543059171.999855,60.18403514759632,24.828960411273712,8.246825999999999,1.91,6,5.0,141861.9989594167,-0.012176513671875,-0.107940673828125,-0.98065185546875
2018-11-24 13:32:52.199 +0200,14,1543059171.999855,60.18403514759632,24.828960411273712,8.246825999999999,1.91,6,5.0,141862.0585014167,-0.0149993896484375,-0.09869384765625,-0.9633636474609376
2018-11-24 13:32:52.241 +0200,15,1543059171.999855,60.18403514759632,24.828960411273712,8.246825999999999,1.91,6,5.0,141862.118043875,0.0020751953125,-0.1257781982421875,-1.006927490234375
2018-11-24 13:32:52.301 +0200,16,1543059171.999855,60.18403514759632,24.828960411273712,8.246825999999999,1.91,6,5.0,141862.177586875,-0.0133209228515625,-0.1323394775390625,-1.028060913085938
2018-11-24 13:32:52.360 +0200,17,1543059171.999855,60.18403514759632,24.828960411273712,8.246825999999999,1.91,6,5.0,141862.237128875,-0.0314788818359375,-0.1105499267578125,-0.9702301025390624
2018-11-24 13:32:52.436 +0200,18,1543059171.999855,60.18403514759632,24.828960411273712,8.246825999999999,1.91,6,5.0,141862.296671875,-0.0189056396484375,-0.1114654541015625,-0.9905548095703124
2018-11-24 13:32:52.479 +0200,19,1543059171.999855,60.18403514759632,24.828960411273712,8.246825999999999,1.91,6,5.0,141862.356213875,-0.0203704833984375,-0.1311492919921875,-1.024627685546875
2018-11-24 13:32:52.539 +0200,20,1543059171.999855,60.18403514759632,24.828960411273712,8.246825999999999,1.91,6,5.0,141862.415756875,-0.0329132080078125,-0.1189422607421875,-0.9830474853515624
2018-11-24 13:32:52.599 +0200,21,1543059171.999855,60.18403514759632,24.828960411273712,8.246825999999999,1.91,6,5.0,141862.475298875,-0.0225067138671875,-0.0970458984375,-0.9693756103515624
2018-11-24 13:32:52.677 +0200,22,1543059171.999855,60.18403514759632,24.828960411273712,8.246825999999999,1.91,6,5.0,141862.534841875,0.0043487548828125,-0.1207122802734375,-1.010086059570312
2018-11-24 13:32:52.718 +0200,23,1543059171.999855,60.18403514759632,24.828960411273712,8.246825999999999,1.91,6,5.0,141862.594384875,-0.0101776123046875,-0.12506103515625,-0.9613189697265624
2018-11-24 13:32:52.777 +0200,24,1543059171.999855,60.18403514759632,24.828960411273712,8.246825999999999,1.91,6,5.0,141862.653926875,-0.0103912353515625,-0.13531494140625,-0.9941253662109376
2018-11-24 13:32:52.836 +0200,25,1543059171.999855,60.18403514759632,24.828960411273712,8.246825999999999,1.91,6,5.0,141862.713469875,-0.00994873046875,-0.14044189453125,-0.99298095703125
2018-11-24 13:32:52.914 +0200,26,1543059171.999855,60.18403514759632,24.828960411273712,8.246825999999999,1.91,6,5.0,141862.773011875,-0.00360107421875,-0.161346435546875,-0.9610595703125
2018-11-24 13:32:52.956 +0200,27,1543059171.999855,60.18403514759632,24.828960411273712,8.246825999999999,1.91,6,5.0,141862.832554875,-0.00115966796875,-0.1771697998046875,-0.9603729248046876
2018-11-24 13:32:53.018 +0200,28,1543059171.999855,60.18403514759632,24.828960411273712,8.246825999999999,1.91,6,5.0,141862.892096875,0.0093536376953125,-0.189605712890625,-0.9598846435546876
2018-11-24 13:32:53.076 +0200,29,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141862.951639875,0.0094451904296875,-0.1773834228515625,-1.011032104492188
2018-11-24 13:32:53.135 +0200,30,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.011182875,0.00469970703125,-0.1940765380859375,-1.004745483398438
2018-11-24 13:32:53.194 +0200,31,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.070724875,0.0032958984375,-0.2142791748046875,-0.962493896484375
2018-11-24 13:32:53.253 +0200,32,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.130267,-0.0088043212890625,-0.2137298583984375,-1.011611938476562
2018-11-24 13:32:53.318 +0200,33,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.189809,-0.0070648193359375,-0.233489990234375,-1.009033203125
2018-11-24 13:32:53.372 +0200,34,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.24935199998,-0.002777099609375,-0.2848052978515625,-0.9470977783203124
2018-11-24 13:32:53.436 +0200,35,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.308895,-0.026031494140625,-0.246795654296875,-0.99822998046875
2018-11-24 13:32:53.491 +0200,36,1543059172.99986,60.18403812317194,24.828934259735824,8.100464,1.83,6,5.0,141863.368437,-0.008392333984375,-0.2598114013671875,-0.9439239501953124
